code,plain_name,source
A4636,"Replacement, handgrip, cane, crutch, or walker, each",cms_hcpcs_l2
A4637,"Replacement, tip, cane, crutch, walker, each.",cms_hcpcs_l2
A4638,"Replacement battery for patient-owned ear pulse generator, each",cms_hcpcs_l2
A4639,"Replacement pad for infrared heating pad system, each",cms_hcpcs_l2
A4640,Replacement pad for use with medically necessary alternating pressure pad owned,cms_hcpcs_l2
A4641,"Radiopharmaceutical, diagnostic, not otherwise classified",cms_hcpcs_l2
A4642,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6",cms_hcpcs_l2
A4648,"Tissue marker, implantable, any type, each",cms_hcpcs_l2
A4649,Surgical supply; miscellaneous,cms_hcpcs_l2
A4650,"Implantable radiation dosimeter, each",cms_hcpcs_l2
A4651,"Calibrated microcapillary tube, each",cms_hcpcs_l2
A4652,Microcapillary tube sealant,cms_hcpcs_l2
A4653,"Peritoneal dialysis catheter anchoring device, belt, each",cms_hcpcs_l2
A4657,"Syringe, with or without needle, each",cms_hcpcs_l2
A4660,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope,cms_hcpcs_l2
A4663,Blood pressure cuff only,cms_hcpcs_l2
A4670,Automatic blood pressure monitor,cms_hcpcs_l2
A4671,"Disposable cycler set used with cycler dialysis machine, each",cms_hcpcs_l2
A4672,"Drainage extension line, sterile, for dialysis, each",cms_hcpcs_l2
A4673,"Extension line with easy lock connectors, used with dialysis",cms_hcpcs_l2
A4674,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per",cms_hcpcs_l2
A4680,"Activated carbon filter for hemodialysis, each",cms_hcpcs_l2
A4690,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each",cms_hcpcs_l2
A4706,"Bicarbonate concentrate, solution, for hemodialysis, per gallon",cms_hcpcs_l2
A4707,"Bicarbonate concentrate, powder, for hemodialysis, per packet",cms_hcpcs_l2
A4708,"Acetate concentrate solution, for hemodialysis, per gallon",cms_hcpcs_l2
A4709,"Acid concentrate, solution, for hemodialysis, per gallon",cms_hcpcs_l2
A4714,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal",cms_hcpcs_l2
A4719,"""y set"" tubing for peritoneal dialysis",cms_hcpcs_l2
A4720,"Dialysate solution, any concentration of dextrose, fluid volume greater than",cms_hcpcs_l2
A4721,"Dialysate solution, any concentration of dextrose, fluid volume greater than",cms_hcpcs_l2
